pta_id,name,parties,n_parties,year,date_signed,date_into_force,status,type,notification,composition,region,crossregional,parties_wto,language,wto_rta_id,template_flag,template_exporter,is_template,is_us_tpa,is_eu_template,is_plurilateral,n_g20_parties,asymmetry_type,asymmetry_note,alschner_cluster,agreement_name,current_signatories,original_signatories,rta_composition,text_of_the_agreement,annexes_related_documents,annexes,document_type,factual_presentation_g_s,factual_presentation_g,central_european_free_trade_agreement_cefta_secretariat,european_free_trade_association_efta,remarks,southern_african_customs_union_sacu,factual_presentation_s,eu_treaty,european_commission,t_rkiye_ministry_of_trade,text_of_the_agreement_unnofficial_translation,secretariat_general_of_the_gulf_cooperation_council_gcc,mexico_central_america,office_of_the_united_states_trade_representative,factual_abstract_g,economic_community_of_west_african_states_ecowas,bilateral_protocol_and_annexes,asean_free_trade_area_afta,additional_protocol,southern_african_development_community_sadc_accession_of_seychelles,southern_african_development_community_sadc,trade_in_goods,trade_in_services,annexes_goods,annexes_services,annex_7_tourism,treaty_on_a_free_trade_area_between_members_of_the_commonwealth_of_independent_states_cis,russian_federation_ministry_of_foreign_affairs,republic_of_moldova_ministry_of_economy_and_infrastructure,ukraine_ministry_for_development_of_economy_trade_and_agriculture,factual_abstract_s,central_european_free_trade_agreement_cefta_2006,t_rkiye_bosnia_and_herzegovina,latin_american_integration_association_laia,east_african_community_eac_accession_of_burundi_and_rwanda,east_african_community_eac,commission_de_la_communaut_economique,revised_treaty,l_union_economique_et_mon_taire_ouest_africaine,commonwealth_of_independent_states_cis
1,Japan - Thailand,"['JPN', 'THA']",2,2007,2007-04-03,2007-11-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,East Asia,No,Yes,en,1,japan_epa_template,JPN,True,False,False,False,1,bilateral_asymmetric,"JPN template exported to smaller partner (japan_epa_template). High CCS may reflect imposition, not organic completeness.",modern_global,Japan - Thailand,Japan; Thailand,Japan; Thailand,Bilateral,E,,E,Language,E F S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Egypt - Turkey,"['EGY', 'TUR']",2,2005,2005-12-27,2007-03-01,In Force,Free Trade Agreement,Enabling Clause,Bilateral,Africa; Europe,Yes,Yes,en,2,none,,False,False,False,False,1,bilateral_asymmetric,"One major economy, one smaller partner — possible power asymmetry but no known template detected. Treat with caution.",modern_global,Egypt - Türkiye,Egypt; Türkiye,Egypt; Türkiye,Bilateral,E,,E,Language,,E F S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Chile - Japan,"['CHL', 'JPN']",2,2007,2007-03-27,2007-09-03,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,South America; East Asia,Yes,Yes,en,3,japan_epa_template,JPN,True,False,False,False,1,bilateral_asymmetric,"JPN template exported to smaller partner (japan_epa_template). High CCS may reflect imposition, not organic completeness.",modern_global,Chile - Japan,Chile; Japan,Chile; Japan,Bilateral,E S,,E S,Language,E F S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Central European Free Trade Agreement (CEFTA) 2006,"['ALB', 'BIH', 'MDA', 'MKD', 'MNE', 'RKS', 'SRB']",7,2006,2006-12-19,2007-05-01,In Force,Free Trade Agreement,GATT Art. XXIV,Plurilateral,Europe; Commonwealth of Independent States (CIS),Yes,No,en,4,none,,False,False,False,True,0,plurilateral_symmetric,"7-party agreement, no dominant template detected. G20 members present: 0",modern_global,Central European Free Trade Agreement (CEFTA) 2006,"Albania; Bosnia and Herzegovina; Kosovo (under UNSC res. 1244); Moldova, Republic of; Montenegro; North Macedonia; Serbia","Albania; Bosnia and Herzegovina; Bulgaria; Croatia; Kosovo (under UNSC res. 1244); Moldova, Republic of; Montenegro; North Macedonia; Romania; Serbia",Plurilateral,E,,E,Language,,E F S,Central European Free Trade Agreement (CEFTA) Secretariat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,EFTA - Egypt,"['CHE', 'EGY', 'ISL', 'LIE', 'NOR']",5,2007,2007-01-27,2007-08-01,In Force,Free Trade Agreement,GATT Art. XXIV,Bilateral; One Party is an RTA,Africa; Europe,Yes,Yes,en,5,none,,False,False,False,True,0,plurilateral_symmetric,"5-party agreement, no dominant template detected. G20 members present: 0",modern_global,EFTA - Egypt,Egypt; Iceland; Liechtenstein; Norway; Switzerland,Egypt; Iceland; Liechtenstein; Norway; Switzerland,Bilateral; One Party is an RTA,E,,E,Language,,E F S,,European Free Trade Association (EFTA),"Notification of the entry into force of Decision No. 1 of 2014 of the Joint EFTA-Egypt Committee, concerning amendments to Protocol A, concerning processed agricultural products. 

Extends the application of Protocol A for two years, until 31 July 2016, to allow for negotiations pursuant to Article 4 of Protocol A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Southern African Customs Union (SACU),"['BWA', 'LSO', 'NAM', 'SWZ', 'ZAF']",5,2002,2002-10-21,2004-07-15,In Force,Customs Union,GATT Art. XXIV,Plurilateral,Africa,No,Yes,en,7,none,,False,False,False,True,1,plurilateral_symmetric,"5-party agreement, no dominant template detected. G20 members present: 1",modern_global,Southern African Customs Union (SACU),Botswana; Eswatini; Lesotho; Namibia; South Africa,Botswana; Eswatini; Lesotho; Namibia; South Africa,Plurilateral,E,,E,Language,,E F S,,,,Southern African Customs Union (SACU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Chile - China,"['CHL', 'CHN']",2,2005,2005-11-18,2006-10-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,South America; East Asia,Yes,Yes,en,8,china_template,CHN,True,False,False,False,1,bilateral_asymmetric,"CHN template exported to smaller partner (china_template). High CCS may reflect imposition, not organic completeness.",modern_global,Chile - China,Chile; China,Chile; China,Bilateral,E S,,E S,Language,,E F S,,,"The Protocol to Amend the Free Trade Agreement and the Supplementary Agreement on Trade in Services of the Free Trade Agreement between the Government of the Republic of Chile and the Government of the People's Republic of China (hereinafter referred to as ""the Protocol"") has integrated and upgraded the Free Trade Agreement and its Supplementary Agreement on Trade in Services, further raising the liberalization level of tariff concession and service commitments. The Protocol has also optimized the rules of origin and its procedures for implementation, increased areas of economic and technical cooperation. Furthermore, the Protocol added new chapters of Customs Procedures and Trade Facilitation, E-commerce, Competition and Environment and trade.",,E F S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Trans-Pacific Strategic Economic Partnership,"['BRN', 'CHL', 'NZL', 'SGP']",4,2005,2005-07-18,2006-05-28,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Plurilateral,East Asia; South America; Oceania,Yes,Yes,en,9,none,,False,False,False,True,0,plurilateral_symmetric,"4-party agreement, no dominant template detected. G20 members present: 0",modern_global,Trans-Pacific Strategic Economic Partnership,Brunei Darussalam; Chile; New Zealand; Singapore,Brunei Darussalam; Chile; New Zealand; Singapore,Plurilateral,E S,,E S,Language,E F S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,India - Singapore,"['IND', 'SGP']",2,2005,2005-06-29,2005-08-01,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,West Asia; East Asia,Yes,Yes,en,10,none,,False,False,False,False,1,bilateral_asymmetric,"One major economy, one smaller partner — possible power asymmetry but no known template detected. Treat with caution.",modern_global,India - Singapore,India; Singapore,India; Singapore,Bilateral,E,,E,Language,E F S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Panama - Singapore,"['PAN', 'SGP']",2,2006,2006-03-01,2006-07-24,In Force,Free Trade Agreement & Economic Integration Agreement,GATT Art. XXIV & GATS Art. V,Bilateral,Central America; East Asia,Yes,Yes,en,11,none,,False,False,False,False,0,bilateral_symmetric,South-South or peer agreement — no asymmetry signals detected. CCS reflects genuine bilateral negotiation.,modern_global,Panama - Singapore,Panama; Singapore,Panama; Singapore,Bilateral,E S,,E S,Language,E F S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
